N	Z	A	El	mass	m_err
73	49	122	In	121910280.966	53.738
72	50	122	Sn	121903444.001	2.57
71	51	122	Sb	121905168.074	2.768
70	52	122	Te	121903043.434	1.617
69	53	122	I	121907588.82	5.606
68	54	122	Xe	121908367.658	11.928
67	55	122	Cs	121916108.145	36.164
66	56	122	Ba	121919904.0	30.0
65	57	122	La	121930710.0	320.0
64	58	122	Ce	121937870.0	430.0
63	59	122	Pr	121951927.0	537.0
79	44	123	Ru	122960193.0	537.0
78	45	123	Rh	122947010.0	429.0
77	46	123	Pd	122935126.0	847.5
76	47	123	Ag	122925337.062	33.0
75	48	123	Cd	122916892.453	2.894
74	49	123	In	122910433.826	21.285
73	50	123	Sn	122905725.446	2.594
72	51	123	Sb	122904214.016	1.616
71	52	123	Te	122904269.747	1.615
70	53	123	I	122905588.52	4.014
69	54	123	Xe	122908481.75	10.238
68	55	123	Cs	122912996.062	13.0
67	56	123	Ba	122918781.062	13.0
66	57	123	La	122926300.0	210.0
65	58	123	Ce	122935280.0	320.0
64	59	123	Pr	122946076.0	429.0
80	44	124	Ru	123963542.0	644.0
79	45	124	Rh	123951809.0	429.0
78	46	124	Pd	123937316.0	320.0
77	47	124	Ag	123928931.229	270.0
76	48	124	Cd	123917657.363	3.215
75	49	124	In	123913182.263	32.82
74	50	124	Sn	123905276.692	1.088
73	51	124	Sb	123905935.789	1.618
72	52	124	Te	123902817.064	1.612
71	53	124	I	123906209.021	2.566
70	54	124	Xe	123905891.588	1.924
69	55	124	Cs	123912257.798	8.914
68	56	124	Ba	123915093.629	13.416
67	57	124	La	123924574.275	60.836
66	58	124	Ce	123930310.0	320.0
65	59	124	Pr	123942940.0	430.0
64	60	124	Nd	123952200.0	540.0
80	45	125	Rh	124954911.0	537.0
79	46	125	Pd	124941900.0	429.0
78	47	125	Ag	124930735.0	465.0
77	48	125	Cd	124921257.577	3.097
76	49	125	In	124913604.591	29.01
75	50	125	Sn	124907786.442	1.109
74	51	125	Sb	124905252.987	2.79
73	52	125	Te	124904429.9	1.612
72	53	125	I	124904629.333	1.614
71	54	125	Xe	124906394.05	1.971
70	55	125	Cs	124909727.867	8.313
69	56	125	Ba	124914471.843	11.8
68	57	125	La	124920815.932	27.909
67	58	125	Ce	124928440.0	210.0
66	59	125	Pr	124937799.0	322.0
65	60	125	Nd	124948900.0	430.0
81	45	126	Rh	125959957.0	537.0
80	46	126	Pd	125944326.0	429.0
79	47	126	Ag	125934857.0	215.0
78	48	126	Cd	125922429.127	2.658
77	49	126	In	125916507.344	28.901
76	50	126	Sn	125907658.836	11.215
75	51	126	Sb	125907253.036	34.103
74	52	126	Te	125903310.866	1.614
73	53	126	I	125905623.313	4.089
72	54	126	Xe	125904296.794	3.757
71	55	126	Cs	125909445.655	11.166
70	56	126	Ba	125911250.204	13.416
69	57	126	La	125919512.667	97.163
68	58	126	Ce	125923971.0	30.0
67	59	126	Pr	125935240.0	210.0
66	60	126	Nd	125943110.0	320.0
65	61	126	Pm	125957756.0	537.0
82	45	127	Rh	126963467.0	644.0
81	46	127	Pd	126949350.0	537.0
80	47	127	Ag	126937262.0	215.0
79	48	127	Cd	126926196.624	13.0
78	49	127	In	126917448.546	22.713
77	50	127	Sn	126910390.401	10.796
76	51	127	Sb	126906924.277	5.502
75	52	127	Te	126905225.714	1.625
74	53	127	I	126904471.838	3.915
73	54	127	Xe	126905182.899	4.412
72	55	127	Cs	126907417.381	5.988
71	56	127	Ba	126911091.275	12.192
70	57	127	La	126916375.084	27.912
69	58	127	Ce	126922727.0	31.0
68	59	127	Pr	126930710.0	210.0
67	60	127	Nd	126940380.0	320.0
66	61	127	Pm	126951920.0	430.0
82	46	128	Pd	127952238.0	537.0
81	47	128	Ag	127941363.0	322.0
80	48	128	Cd	127927812.857	7.776
